stick_sensor,heart_beat,total_sleep,rem_sleep,body_temperature,walk,skin_temperature,oxygen_saturation,deep_sleep,hrv,stress_score,level,level_name
10.0,84.221824686941,180.0,68.0,33.4104166666667,1902.0,24.2177083333333,97.05,10.0,10.9,5.0,1,높은 활동
10.0,82.2040472175379,115.0,42.0,34.1423611111111,2041.0,24.8642361111111,97.3266666666667,2.0,10.5,8.0,1,높은 활동
15.0,86.9788182831661,52.0,20.0,35.4024305555556,2885.0,28.8878472222222,97.1333333333333,6.0,25.13101930721181,8.0,1,중간 활동
10.0,86.9710682492582,123.0,48.0,33.9475694444444,24334.0,24.1357638888889,97.40297067496518,14.0,29.9,9.0,1,중간 활동
5.0,83.0720072007201,75.0,8.0,34.5034722222222,9139.0,26.5895833333333,97.5283582089552,17.0,10.7,1.0,1,낮은 활동
10.0,71.0527777777778,192.0,51.0,36.2975694444444,2991.0,31.8777777777778,97.5190476190476,36.0,17.9,8.0,1,높은 활동
15.0,86.748085106383,150.0,63.0,33.7819444444444,1771.0,25.1510416666667,97.4666666666667,7.0,31.3,5.0,1,낮은 활동
10.940876136015522,73.881913303438,197.0,16.0,36.3166666666667,5790.0,32.1930555555556,97.5775656324582,74.0,25.13101930721181,4.0,1,낮은 활동
5.0,66.8271028037383,225.0,60.0,36.2740458015267,34.0,31.169465648855,97.456,66.0,9.9,7.0,1,낮은 활동
10.0,83.622009569378,160.0,66.0,34.1756944444444,834.0,24.225,97.9,5.0,29.0,4.0,1,높은 활동
5.0,70.4661290322581,230.0,64.0,36.8757894736842,3573.0,34.2705263157895,97.4227272727273,56.0,23.1,5.0,1,중간 활동
10.0,73.0544783010157,155.0,59.0,35.5649305555556,7355.0,28.9027777777778,97.4421052631579,21.0,25.13101930721181,5.0,1,중간 활동
32.0,73.0610328638498,245.0,93.0,34.8248251748252,6605.0,26.7,97.4478260869565,18.0,22.8,7.0,1,높은 활동
10.0,81.330035971223,149.0,56.0,35.0826388888889,1905.0,28.4684027777778,97.6903225806452,8.0,31.5,4.0,1,낮은 활동
25.0,74.5445652173913,141.0,65.0,36.0121527777778,5638.0,30.6256944444444,97.6057441253264,17.0,17.0,3.0,1,중간 활동
10.0,90.7094535993062,31.0,10.0,34.8378472222222,9155.0,27.5736111111111,97.5175879396985,4.0,21.3,4.0,1,높은 활동
10.0,76.2196193265007,232.0,69.0,36.3749128919861,2430.0,32.1578397212544,97.5793269230769,33.0,29.5,2.0,1,높은 활동
16.0,94.9917491749175,37.0,11.0,36.1023622047244,8850.0,30.9913385826772,97.5143603133159,7.0,25.13101930721181,2.0,1,중간 활동
10.0,90.4434673366834,170.0,65.0,34.3840277777778,5599.0,24.2361111111111,97.2,7.0,15.1,2.0,1,높은 활동
15.0,85.1051502145923,130.0,42.0,34.7482638888889,3968.0,27.0954861111111,97.6244897959184,19.0,5.4,8.0,1,낮은 활동
10.0,80.3721254355401,60.0,21.0,36.7190972222222,7195.0,33.5604166666667,97.40297067496518,6.0,18.8,5.0,1,낮은 활동
5.0,64.6363636363636,101.0,31.0,34.6160278745645,2047.0,25.4554006968641,97.5686274509804,28.0,17.4,1.0,1,높은 활동
15.0,81.3390383048085,24.0,6.0,34.714859437751,9458.0,27.3180722891566,97.40297067496518,2.0,23.8,5.0,1,높은 활동
5.0,70.2958579881657,57.0,15.0,36.4079861111111,4669.0,32.2378472222222,97.4315789473684,13.0,17.9,5.0,1,낮은 활동
10.0,78.3771739130435,25.0,8.0,35.7065934065934,2507.0,30.2549450549451,97.40297067496518,3.0,23.5,10.0,1,높은 활동
15.0,80.25,130.0,62.0,34.5329861111111,3090.0,27.0100694444444,97.5944444444444,3.0,19.1,5.0,1,높은 활동
10.0,81.5369928400955,40.0,11.0,35.9590277777778,2403.0,30.9899305555556,97.40297067496518,4.0,16.9,3.0,1,높은 활동
10.0,82.6387096774194,150.0,59.0,35.1722222222222,2437.0,28.2388888888889,97.40297067496518,13.0,28.4,5.0,1,높은 활동
15.0,81.6145251396648,155.0,68.0,34.8842657342657,3036.0,28.2975524475524,97.4245614035088,6.0,23.5,5.0,1,
5.0,74.8791666666667,80.0,35.0,36.4395833333333,3902.0,32.4295138888889,97.5193236714976,7.0,11.4,3.0,1,
20.0,61.3710247349823,182.0,45.0,36.2305555555556,9036.0,31.3097222222222,97.4809160305343,35.0,14.6,3.0,1,
15.0,86.8509259259259,130.0,44.0,33.7583333333333,1319.0,23.7006944444444,97.4833333333333,3.0,29.8,1.0,1,
10.0,85.7939876215738,73.0,23.0,35.7697916666667,14086.0,30.1517361111111,97.2615384615385,7.0,22.0,5.0,1,
10.0,82.9793939393939,80.0,26.0,34.7293388429752,6335.0,25.899173553719,97.68,3.0,11.6,1.0,1,
10.0,82.6714285714286,210.0,80.0,34.5645833333333,2085.0,27.3145833333333,97.8,10.0,19.5,6.0,1,
15.0,69.0013531799729,51.0,15.0,36.3315972222222,7180.0,32.13125,97.1511627906977,11.0,38.8,3.0,1,
20.0,83.8042168674699,110.0,21.0,36.0190972222222,7278.0,31.0888888888889,96.9333333333333,34.0,10.0,5.0,1,
25.0,76.7307386814932,55.0,9.0,36.1802083333333,2954.0,31.5552083333333,97.40297067496518,11.0,33.2,5.0,1,
10.0,86.1083562901745,105.0,41.0,34.2128472222222,888.0,25.3368055555556,97.40297067496518,6.0,19.9,8.0,1,
